title,artist,mood
Devil in a new Dress,Kanye West,hype
Space Cadet,Metro Boomin,hype
Never Needed No Help,Lil Baby,hype
Bad Habit,Steve Lacy,hype
All The Stars,SZA,hype
The Greatest,Rod Wave,hype
Do Not Disturb,Drake,chill
Sunset,Lucki,chill
Poof,Pierre Bourne,chill
Nights,Frank Ocean,chill
Contagious,Young Thug,chill
Mr. Brightside,The Killers,nostalgic
We Are Young,Fun,nostalgic
I'll Be Missing You,Puff Daddy & Faith Evans,nostalgic
Candy Rain,Soul for Real,nostalgic
Viva la Vida,Coldplay,nostalgic